PassengerId,HomePlanet,CryoSleep,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,deck,num,side,Transported
0001_01,1,0,39.0,-20.0,-20.0,-20.0,-20.0,-20.0,1,0,0,False
0002_01,0,0,24.0,5.287233601929669,2.322463480678089,3.49237886176038,7.4162854310289115,4.165880829163775,5,0,1,True
0003_01,1,0,58.0,4.138118690288648,10.109245388872935,-20.0,11.072936427647981,4.296280880781338,0,0,1,False
0003_02,1,0,33.0,-20.0,8.604958925088239,6.884297407955525,10.001687660585796,6.020034084007397,0,0,1,False
0004_01,0,0,16.0,6.613508196664385,4.733461307671597,5.702705671199803,7.455693505049716,0.7052984768275498,5,1,1,True
0005_01,0,0,44.0,-20.0,7.241270093391383,-20.0,6.559790503629295,-20.0,5,0,0,True
0006_01,0,0,26.0,4.109736292894352,8.866353561609323,1.1293461709907573,-20.0,-20.0,5,2,1,True
0006_02,0,1,28.0,-20.0,-20.0,-20.0,-20.0,-20.0,6,0,1,True
0007_01,0,0,35.0,-20.0,7.91087671975576,3.0437121565820573,6.166924614174324,-20.0,5,3,1,True
0008_01,1,1,14.0,-20.0,-20.0,-20.0,-20.0,-20.0,1,1,0,True
0008_02,1,1,34.0,-20.0,-20.0,-20.0,-20.0,-20.0,1,1,0,True
0008_03,1,0,45.0,4.020565418446158,11.20191579455164,7.512861403381952,5.298783000857905,5.450779006841933,1,1,0,True
0009_01,2,0,32.0,4.785411784852691,-20.0,8.41508656761792,-20.0,5.332842197502667,5,1,0,True
0010_01,0,0,48.0,7.788585460685653,0.0,4.641983560003917,-20.0,3.4444774760849572,6,1,1,False
0011_01,0,0,28.0,2.1913894413569,8.21356353516058,2.6458725068107314,0.7052984768275498,2.043720593757007,5,2,0,True
0012_01,0,0,31.0,3.784142300054421,-20.0,8.064363765428913,-20.0,-20.0,5,3,0,False
0014_01,2,0,27.0,8.608299521685481,5.4300952700274445,6.813723633669706,-20.0,-20.0,5,3,0,False
0015_01,0,0,24.0,-20.0,0.0,-20.0,-20.0,7.620845415605456,5,4,0,False
0016_01,2,1,45.0,-20.0,-20.0,-20.0,-20.0,-20.0,5,5,0,True
0017_01,0,0,0.0,-20.0,-20.0,-20.0,-20.0,-20.0,6,0,0,True
0017_02,0,0,14.0,7.025569625337796,-20.0,0.0,-20.0,7.709167910483991,5,6,0,False
0020_01,0,1,1.0,-20.0,-20.0,-20.0,-20.0,-20.0,4,0,1,False
0020_02,0,1,49.0,-20.0,-20.0,-20.0,-20.0,-20.0,4,0,1,False
0020_03,0,1,29.0,-20.0,-20.0,-20.0,-20.0,-20.0,4,0,1,False
0020_04,0,0,10.0,-20.0,-20.0,-20.0,-20.0,-20.0,4,0,1,True
0020_05,0,1,1.0,-20.0,-20.0,-20.0,-20.0,-20.0,4,0,1,False
0020_06,0,0,7.0,-20.0,-20.0,-20.0,-20.0,-20.0,4,0,1,False
0022_01,2,0,21.0,8.222228218172392,0.7052984768275498,4.715673542973843,-20.0,-20.0,3,0,0,False
0024_01,1,1,62.0,-20.0,-20.0,-20.0,-20.0,-20.0,2,2,1,True
0025_01,0,0,15.0,-20.0,6.2203884607949975,-20.0,8.247923130050381,-20.0,5,6,1,False
0026_01,1,0,34.0,3.342702213357759,10.917200309307164,-20.0,8.768547810616344,6.719214585286576,2,0,0,False
0028_01,2,0,43.0,8.417614713358061,-20.0,5.5685995320621355,4.271245188779983,-20.0,5,8,0,False
0030_01,0,0,32.0,-20.0,8.022116994312714,4.914618792310347,7.105290583324902,7.154068282893397,6,4,1,False
0031_01,2,0,47.0,6.154756693786709,-20.0,8.741295930064782,-20.0,8.543523965254217,5,9,0,True
0031_02,2,0,2.0,-20.0,-20.0,-20.0,-20.0,-20.0,5,9,0,True
0031_03,2,0,20.0,7.721359453884798,-20.0,9.052392180125624,8.23655798211251,-20.0,5,9,0,True
0034_01,1,1,28.0,-20.0,-20.0,-20.0,-20.0,-20.0,3,1,1,True
0035_01,2,0,23.0,7.909097880299436,8.199009079011116,-20.0,8.179872350827381,-20.0,3,1,0,False
0036_01,0,0,15.0,-20.0,7.266428205385942,4.271245188779983,3.2317269928308447,6.989026161404254,5,8,1,False
0038_01,0,0,20.0,7.428716386729659,6.0334500489593,-20.0,9.636623040733925,-20.0,5,10,1,False
0039_01,0,1,30.0,-20.0,-20.0,-20.0,-20.0,-20.0,6,1,0,False
0041_01,0,1,17.0,-20.0,-20.0,-20.0,-20.0,-20.0,6,2,0,True
0043_01,1,0,45.0,-20.0,5.809060048266904,4.1930499082957615,9.581645706278598,8.03033585254248,1,3,0,False
0044_01,0,1,55.0,-20.0,-20.0,-20.0,-20.0,-20.0,6,3,0,False
0044_02,0,1,4.0,-20.0,-20.0,-20.0,-20.0,-20.0,6,3,0,True
0044_03,0,1,21.0,-20.0,-20.0,-20.0,-20.0,-20.0,6,3,0,True
0045_01,2,0,21.0,8.20775886419088,-20.0,5.929468869527496,-20.0,4.622888266898324,5,10,0,False
0045_02,2,1,19.0,-20.0,-20.0,-20.0,-20.0,-20.0,5,10,0,True
0050_01,0,0,35.0,7.919738751908065,-20.0,-20.0,6.046735925680877,-20.0,4,1,1,False
0051_01,0,0,56.0,-20.0,5.321585584062937,-20.0,8.7083484562541,5.481217901072851,4,2,1,False
0052_01,0,0,3.0,1.4354692507258628,-20.0,0.7052984768275498,10.518009477171795,-20.0,6,6,1,False
0053_01,0,0,25.0,-20.0,-20.0,9.200997310977815,-20.0,0.0,5,11,1,True
0056_01,1,0,2.0,-20.0,-20.0,-20.0,-20.0,-20.0,0,1,1,True
0056_02,1,1,38.0,-20.0,-20.0,-20.0,-20.0,-20.0,0,1,1,True
0056_03,1,0,27.0,6.50392572655247,7.549756482675837,10.021836094476862,6.536784480774894,1.1293461709907573,0,1,1,True
0058_01,0,1,36.0,-20.0,-20.0,-20.0,-20.0,-20.0,6,7,1,False
0061_01,0,0,22.0,4.1930499082957615,8.380531426080347,5.676929071869039,8.706265197048486,0.0,5,12,1,False
0062_01,0,0,62.0,-20.0,7.5198511786558875,-20.0,3.0437121565820573,3.49237886176038,5,13,1,False
0064_01,2,1,15.0,-20.0,-20.0,-20.0,-20.0,-20.0,5,14,1,True
0064_02,2,1,33.0,-20.0,-20.0,-20.0,-20.0,-20.0,4,3,1,True
0066_01,0,0,62.0,0.0,5.719621153728036,6.046735925680877,-20.0,7.174895784642108,6,6,0,False
0067_01,0,1,0.0,-20.0,-20.0,-20.0,-20.0,-20.0,6,10,1,True
0067_02,0,0,18.0,0.0,6.400428809384446,7.132932761859929,-20.0,-20.0,6,10,1,True
0067_03,0,0,21.0,9.207012562498495,3.9574219454043877,-20.0,-20.0,3.4444774760849572,5,15,1,False
0068_01,2,0,3.0,7.925030429343676,-20.0,0.7052984768275498,6.374608497526049,-20.0,4,4,1,False
0069_01,0,0,42.0,8.081879836733753,-20.0,2.322463480678089,1.874470954528848,-20.0,5,16,1,True
0070_01,0,0,19.0,5.999660419871473,-20.0,1.6759677346873627,0.0,7.802050425654383,5,13,0,False
0071_01,0,0,17.0,2.9739670999406997,9.363166700478438,-20.0,-20.0,4.368576634854211,5,14,0,False
0072_01,0,0,14.0,-20.0,0.0,-20.0,-20.0,8.337181959748229,5,17,1,False
0073_01,2,0,37.0,4.219651361749046,4.945022516135971,7.824848844504017,-20.0,2.6458725068107314,3,3,0,False
0074_01,1,0,42.0,0.0,11.422172128231859,-20.0,-20.0,7.3047070575374535,2,3,1,True
0076_01,2,0,27.0,5.668226469882656,-20.0,8.275961688896365,-20.0,-20.0,5,18,1,True
0077_01,2,0,28.0,2.8210907216764523,-20.0,8.618277074410564,-20.0,-20.0,5,15,0,True
0078_01,1,0,38.0,-20.0,10.856782408206778,-20.0,6.690410129539512,11.642104492755987,2,4,1,False
0081_01,0,1,13.0,-20.0,-20.0,-20.0,-20.0,-20.0,6,13,1,False
0082_01,2,0,42.0,11.2254841666141,-20.0,-20.0,-20.0,-20.0,5,16,0,False
0082_02,2,1,2.0,-20.0,-20.0,-20.0,-20.0,-20.0,5,16,0,True
